Age,Reaction_Time_ms,Training_Hours_Per_Week,Skill_Level
28,164.8,7.5,Advanced
25,257.3,4.9,Intermediate
18,193.7,12.9,Advanced
59,219.1,9.1,Intermediate
35,269.5,4.6,Intermediate
36,255.7,5.5,Intermediate
45,294.8,2.1,Beginner
27,176.9,10.2,Advanced
40,275.6,2.1,Beginner
49,344.7,2.4,Beginner
35,299.7,2.9,Beginner
38,344.4,2.0,Beginner
34,174.1,10.0,Advanced
34,350.1,1.6,Beginner
26,175.8,9.6,Advanced
42,280.2,2.0,Beginner
34,207.3,10.4,Advanced
39,166.0,8.8,Advanced
47,306.2,1.8,Beginner
63,360.7,1.8,Beginner
20,296.6,2.7,Intermediate
35,180.3,10.6,Advanced
33,305.6,1.6,Beginner
18,254.6,5.0,Intermediate
38,149.5,10.3,Advanced
39,267.1,1.5,Beginner
37,282.7,5.4,Intermediate
24,169.5,11.8,Advanced
50,311.0,1.7,Beginner
34,207.0,12.3,Advanced
40,298.4,0.0,Beginner
38,263.0,3.7,Intermediate
30,232.4,6.1,Advanced
38,286.8,2.3,Beginner
21,171.5,11.7,Advanced
42,325.9,3.6,Beginner
25,297.4,5.5,Intermediate
39,270.6,3.3,Intermediate
26,230.4,3.9,Intermediate
34,329.7,1.2,Beginner
23,256.3,5.7,Intermediate
31,288.7,4.6,Intermediate
52,325.1,2.8,Beginner
35,125.2,8.6,Advanced
48,314.4,0.5,Beginner
30,338.4,2.3,Beginner
36,225.3,11.3,Advanced
46,349.3,1.7,Beginner
19,229.5,3.7,Intermediate
25,351.7,2.4,Beginner
39,329.9,1.3,Beginner
60,261.2,3.5,Beginner
48,308.4,1.5,Beginner
53,219.2,4.9,Intermediate
40,316.5,2.1,Beginner
37,183.3,10.1,Advanced
60,342.2,0.0,Beginner
24,260.3,5.1,Intermediate
33,241.9,3.7,Intermediate
18,215.3,8.8,Advanced
40,261.8,4.3,Intermediate
24,222.6,11.3,Advanced
49,232.1,3.7,Intermediate
34,256.5,7.2,Intermediate
46,258.7,4.7,Intermediate
34,232.9,7.1,Advanced
33,217.0,5.9,Intermediate
38,202.7,9.1,Advanced
29,279.0,5.6,Intermediate
31,184.9,10.6,Advanced
35,180.5,9.2,Advanced
34,209.8,6.2,Intermediate
25,266.4,5.3,Intermediate
34,257.4,3.4,Intermediate
30,165.0,11.6,Advanced
56,220.2,6.3,Intermediate
60,200.1,10.9,Advanced
44,317.8,0.6,Beginner
24,188.8,10.7,Advanced
29,225.6,3.1,Intermediate
35,274.1,5.2,Intermediate
26,208.4,14.3,Advanced
39,270.3,3.8,Intermediate
42,284.1,2.3,Beginner
43,283.4,1.4,Beginner
42,255.8,5.7,Intermediate
42,347.9,2.5,Beginner
51,326.3,2.4,Beginner
30,310.7,3.0,Beginner
18,159.6,11.2,Advanced
38,198.9,9.0,Advanced
34,187.7,8.0,Advanced
48,210.6,9.7,Advanced
23,198.1,13.2,Advanced
59,350.9,1.5,Beginner
35,269.7,5.3,Intermediate
22,176.8,7.1,Advanced
27,330.3,3.5,Beginner
30,205.5,8.8,Advanced
42,233.0,6.1,Intermediate
